artist_id,name,genres,popularity,followers,total_streams,daily_chart_times,avg_chart_pos,top_peak_pos
2SrSdSvpminqmStGELCSNd,Stormzy,"grime, uk hip hop",76,2353629,87106880.0,93.0,158.0,56.0
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap",88,14554366,86470079.0,104.0,133.0,19.0
5yy76ufVriyvidNSvXlRU1,Clever,alabama rap,65,61275,85792964.0,56.0,61.0,12.0
3tJoFztHeIJkJWMrx0td2f,Moneybagg Yo,"hip hop, memphis hip hop, rap, southern hip hop, tennessee hip hop, trap",79,2356762,85529089.0,85.0,138.0,60.0
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,"atl hip hop, hip hop, plugg, rap, trap",84,5201815,85344685.0,65.0,143.0,4.0
1Xylc3o4UrD53lo9CvFvVg,Zara Larsson,"dance pop, edm, electropop, pop, pop dance, post-teen pop, scandipop, swedish electropop, swedish pop, tropical house",78,9250025,84167155.0,88.0,142.0,43.0
71jSVPQ6yskfyvWeiwvT5s,S1mba,afroswing,63,49293,83787904.0,94.0,158.0,69.0
6kZWqUZqptyxb8Ki5DyBAg,DTG,afroswing,59,9221,83088779.0,93.0,116.0,69.0
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,"dance pop, edm, electropop, indietronica, metropopolis, pop, uk pop",80,9955955,82258035.0,109.0,156.0,82.0
4qWnlmXWuGv2TtuxtIWlJX,BANNERS,"indie poptimism, modern rock, pop, pop rock",71,432891,81999276.0,106.0,152.0,114.0
5fMUXHkw8R8eOP2RNVYEZX,Diplo,"bmore, dance pop, edm, electro house, house, moombahton, ninja, pop, pop dance, tropical house",82,2419550,81804203.0,100.0,141.0,53.0
5uYe4bcAXlMP7d4mrOYkML,Niack,funk carioca,59,356636,79240330.0,99.0,149.0,72.0
45gHcnDnMC15sgx3VL7ROG,42 Dugg,"detroit trap, rap, southern hip hop, trap",76,426871,78856041.0,90.0,124.0,61.0
2o5jDhtHVPhrJdv3cEQ99Z,TiÃÂ«sto,"big room, brostep, dance pop, dutch edm, edm, house, pop, pop dance, slap house, trance, tropical house",84,5909696,78806417.0,66.0,100.0,22.0
7K78lVZ8XzkjfRSI7570FF,JosÃÂ© Feliciano,"bolero, latin pop, puerto rican pop",63,246900,78399127.0,37.0,69.0,9.0
7CyeXFnOrfC1N6z4naIpgo,The Ronettes,"brill building pop, classic girl group, motown, rock-and-roll, soul",59,182736,78259826.0,38.0,91.0,11.0
7vPGzgDg3qGUY5bWtrO3K4,Conkarah,jawaiian,58,67439,78074584.0,81.0,108.0,60.0
2fZcYu4ltOFdwsnDmLQ9jl,DJ Fle,,54,2590,78074584.0,81.0,108.0,60.0
5EvFsr3kj42KNv97ZEnqij,Shaggy,reggae fusion,75,1602723,78074584.0,81.0,108.0,60.0
6MDME20pz9RveH9rEXvrOM,Clean Bandit,"dance pop, edm, pop, pop dance, tropical house, uk dance, uk funky",79,4495175,78063495.0,83.0,113.0,82.0
5M9Bb4adKAgrOFOhc05Y50,Pablo AlborÃÂ¡n,"latin, latin arena pop, latin pop, spanish pop",76,3862733,76010840.0,103.0,161.0,126.0
7n2Ycct7Beij7Dj7meI4X0,TWICE,"k-pop, k-pop girl group",82,10684647,75048773.0,78.0,92.0,46.0
4cfKtwkefMW3aiXtxfw8w6,Nomcebo Zikode,"afro soul, south african pop",64,137833,74851671.0,83.0,124.0,68.0
523y9KSneKh6APd1hKxLuF,Master KG,south african house,66,258323,74851671.0,83.0,124.0,68.0
35S20clEkkSNUo23ViaslZ,Band Aid,musical advocacy,44,20058,73198864.0,35.0,59.0,12.0
1WMwuNKzEFtU6pPkdtryYS,Kendo Kaponi,"latin, latin hip hop, reggaeton, reggaeton flow, trap latino",69,638291,73133545.0,81.0,140.0,54.0
0JXiS2FrAg3wQYJHcmZdrc,B. Swanson Quartet,,45,375,72894086.0,36.0,62.0,10.0
6L1XC7NrmgWRlwAeLJvVtA,Sam Fischer,"alt z, australian pop, dance pop, pop",72,131112,71879184.0,89.0,119.0,95.0
4vxaQs6vK54nK89J1VtLex,PUBLIC,indie rockism,65,169233,71495440.0,101.0,156.0,112.0
5KNNVgR6LBIABRIomyCwKJ,Dermot Kennedy,"folk-pop, irish pop, pop",78,983044,70549931.0,60.0,94.0,41.0
0XwVARXT135rw8lyw1EeWP,Christian Nodal,"mariachi, nuevo regional mexicano, ranchera, regional mexican",83,8683923,68334389.0,87.0,152.0,66.0
45TgXXqMDdF8BkjA83OM7z,Rod Wave,florida rap,78,2377420,67626935.0,76.0,151.0,59.0
4QVBYiagIaa6ZGSPMbybpy,Pedro CapÃÂ³,"latin, latin pop, puerto rican pop",73,1375262,67558893.0,87.0,161.0,79.0
6jJ0s89eD6GaHleKKya26X,Katy Perry,"dance pop, pop, post-teen pop",85,19372013,67446155.0,77.0,142.0,39.0
3wVXTWabe3viT0jF7DfjOL,Vedo,"pop r&b, r&b",70,275586,67267487.0,76.0,126.0,79.0
3KwmxIhSe9UTSEF37kwngR,SHAED,"electropop, pop",66,142849,67040960.0,65.0,76.0,43.0
4STHEaNw4mPZ2tzheohgXB,Paul McCartney,"album rock, art rock, beatlesque, classic rock, mellow gold, rock, soft rock",72,3677878,66142005.0,34.0,74.0,14.0
