artist_id,name,genres,followers,popularity
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,"dance pop,edm,electropop,pop,pop dance,tropical house",18416887,82
487N2T9nIPEHrlTZLL3SQs,Zé Neto & Cristiano,"sertanejo,sertanejo universitario",14764701,82
7MiDcPa6UiV3In7lIM71IN,Gusttavo Lima,"sertanejo,sertanejo universitario",13537009,82
5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,"bachata,latin",13390730,82
2C6i0I5RiGzDKN9IAF8reh,Banda MS de Sergio Lizárraga,"banda,corrido,norteno,regional mexican",12654725,82
6oMuImdp5ZcFhWP0ESe6mG,Migos,"atl hip hop,rap,trap",11811257,82
0NGAZxHanS9e0iNHpR8f2W,Alok,"electro house,pop nacional,slap house",10580298,82
26dSoYclwsYLMAKD3tpOr4,Britney Spears,"dance pop,pop,post-teen pop",9762895,82
0c173mlxpT3dSFRgMO8XPh,Big Sean,"detroit hip hop,hip hop,pop,pop rap,rap,southern hip hop,trap",8823575,82
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,"pop,uk pop",8671789,82
1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,"dance pop,pop,pop dance,post-teen pop,tropical house,uk pop",8464360,82
163tK9Wjr9P9DmM0AVK7lm,Lorde,"art pop,dance pop,electropop,metropopolis,nz pop,pop",8403722,82
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,"album rock,classic rock,mellow gold,rock,soft rock,yacht rock",7201754,82
0vR2qb8m9WHeZ5ByCbimq2,Reik,"latin,latin arena pop,latin pop,mexican pop",6360310,82
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,"dance pop,pop,pop rap",6116872,82
33ScadVnbm2X8kkUqOkC6Z,Don Omar,"latin,latin hip hop,puerto rican pop,reggaeton,trap latino",5991572,82
2dIgFjalVxs4ThymZ67YCE,Stray Kids,"k-pop,k-pop boy group",5693251,82
21451j1KhjAiaYKflxBjr1,Zion & Lennox,"latin,latin hip hop,reggaeton,trap latino",5684736,82
718COspgdWOnwOFpJHRZHS,Luke Combs,"contemporary country,country",5601866,82
1sBkRIssrMs1AbVkOJbc7a,Rick Ross,"dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap",5153126,82
3MZsBdqDrRTJihTHQrO6Dq,Joji,"alternative r&b,pop,viral pop",4940771,82
5Lv2GUVwqmQBPwrTrxucE5,Os Barões Da Pisadinha,"forro,piseiro",4774957,82
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,"canadian hip hop,canadian trap,hip hop,melodic rap,pop rap,r&b,rap,toronto rap,trap",3919476,82
3Isy6kedDrgPYoTS1dazA9,Sean Paul,"dance pop,dancehall,pop,pop rap",3612134,82
716NhGYqD1jl2wI1Qkgq36,Bizarrap,"argentine hip hop,pop venezolano,trap argentino,trap latino",3546413,82
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,"canadian contemporary r&b,pop,r&b",2883103,82
