artist_id,name,genres,followers,popularity,danceability,energy,tempo,valence,loudness,speechiness,liveness,acousticness,instrumentalness
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,electro house,30564606,84,0.61,0.7,113.19,0.36,-4.89,0.05,0.22,0.16,0.0
4dpARuHxo51G3z768sgnrY,Adele,"british soul,pop,pop soul,uk pop",29201893,84,0.51,0.49,128.06,0.33,-7.65,0.05,0.11,0.42,0.0
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,"k-pop,k-pop girl group",25241954,84,0.68,0.7,129.35,0.51,-4.9,0.11,0.14,0.09,0.0
0EmeFodog0BfCgMzAIvKQp,Shakira,"colombian pop,dance pop,latin,latin pop,pop",22428777,84,0.78,0.79,130.24,0.8,-4.65,0.12,0.2,0.19,0.0
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,"modern rock,rock",21182899,84,0.68,0.61,114.65,0.48,-7.43,0.08,0.17,0.15,0.03
07YUOmWljBTXwIseAUd9TW,Sebastian Yatra,"colombian pop,latin,reggaeton,reggaeton colombiano",16648837,84,0.7,0.71,112.91,0.72,-4.64,0.08,0.17,0.2,0.0
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,"garage rock,permanent wave,rock,sheffield indie",12725474,84,0.57,0.69,114.69,0.58,-5.35,0.04,0.19,0.16,0.04
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"dance pop,piano rock,pop,pop rock",12467537,84,0.61,0.67,122.66,0.44,-6.06,0.07,0.18,0.11,0.0
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,"dance pop,pop,pop rap,post-teen pop",10097891,84,0.78,0.71,111.71,0.67,-4.84,0.09,0.16,0.09,0.0
0XwVARXT135rw8lyw1EeWP,Christian Nodal,"mariachi,nuevo regional mexicano,ranchera,regional mexican",8735786,84,0.74,0.59,118.91,0.75,-4.1,0.04,0.23,0.31,0.0
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,"alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop",8308781,84,0.61,0.44,113.08,0.34,-9.02,0.15,0.16,0.68,0.07
5he5w2lnU9x7JFhnwcekXX,Skrillex,"brostep,complextro,edm,electro",7929517,84,0.66,0.8,141.91,0.32,-4.25,0.13,0.41,0.04,0.0
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,"g funk,gangster rap,hip hop,pop rap,rap,west coast rap",7276815,84,0.75,0.63,118.2,0.62,-6.99,0.2,0.13,0.19,0.0
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,"modern alternative rock,modern rock,pop",7010269,84,0.6,0.66,104.53,0.37,-6.14,0.03,0.11,0.06,0.08
4SsVbpTthjScTS7U2hmr1X,Arcangel,"latin,latin hip hop,reggaeton,trap latino",6895020,84,0.77,0.72,132.28,0.63,-4.28,0.17,0.23,0.25,0.0
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,"melodic rap,rap,trap",6889891,84,0.78,0.64,114.04,0.52,-6.6,0.17,0.2,0.2,0.0
5LHRHt1k9lMyONurDHEdrp,Tyga,"dance pop,hip hop,pop rap,rap,southern hip hop,trap",6345296,84,0.83,0.67,107.36,0.44,-5.04,0.14,0.18,0.09,0.0
