artist_id,followers,genres,popularity,name
5he5w2lnU9x7JFhnwcekXX,7928579,"brostep, complextro, edm, electro",83,Skrillex
5rQoBDKFnd1n6BkdbgVaRL,7900524,"desi pop, modern bollywood",67,Guru Randhawa
5Rl15oVamLq7FbSb0NNBNy,7884987,"boy band, dance pop, electropop, pop, post-teen pop",80,5 Seconds of Summer
2kCcBybjl3SAtIcwdWpUe3,7870324,"emo rap, lgbtq+ hip hop",85,Lil Peep
3PhoLpVuITZKcymswpck5b,7835822,"glam rock, mellow gold, piano rock",86,Elton John
3wyVrVrFCkukjdVIdirGVY,7795355,"emo rap, miami hip hop, rap, trap",70,Lil Pump
0p4nmQO2msCgU4IF37Wi3j,7783571,"canadian pop, candy pop, dance pop, pop, post-teen pop",77,Avril Lavigne
1Hsdzj7Dlq2I7tHP7501T4,7757585,"dance pop, pop, post-teen pop",80,Niall Horan
3q7HBObVc0L8jNeTe5Gofh,7748493,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap",83,50 Cent
23fqKkggKUBHNkbKtXEls4,7706981,"edm, pop, pop dance, tropical house",83,Kygo
1mXAhKnZEdF6rotyyd4GBi,7680362,"funk carioca, funk ostentacao, funk pop",70,MC Kevinho
7wlFDEWiM5OoIAt8RSli8b,7579033,"baton rouge rap, trap",86,YoungBoy Never Broke Again
0eDvMgVFoNV3TpwtrVCoTj,7574402,brooklyn drill,89,Pop Smoke
3AA28KZvwAUcZuOKwyblJQ,7573282,alternative hip hop,81,Gorillaz
5eAWCfyUhZtHHtBdNk56l1,7565696,"alternative metal, nu metal, rap metal, rock",79,System Of A Down
2FKWNmZWDBZR4dE5KX4plR,7517995,"desi pop, filmi, modern bollywood, punjabi pop",71,Diljit Dosanjh
6icQOAFXDZKsumw3YXyusw,7477098,"atl hip hop, hip hop, melodic rap, pop rap, rap, trap, viral rap",80,Lil Yachty
540vIaP2JwjQb9dm3aArA4,7460843,"dance pop, edm, electronic trap, pop, pop dance",81,DJ Snake
4bw2Am3p9ji3mYsXNXtQcd,7381655,"colombian pop, latin, latin pop, reggaeton, reggaeton colombiano, trap latino",77,Piso 21
46SHBwWsqBkxI7EeeBEQG7,7344887,"florida rap, hip hop, melodic rap, miami hip hop, rap, southern hip hop, trap",81,Kodak Black
0oSGxfWSnnOXhD2fKuz2Gy,7293003,"art rock, classic rock, glam rock, permanent wave, rock",79,David Bowie
7hJcb9fa4alzcOq3EaNPoG,7261683,"g funk, gangster rap, hip hop, rap, west coast rap",84,Snoop Dogg
08GQAI4eElDnROBrJRGE0X,7181550,"album rock, classic rock, mellow gold, rock, soft rock, yacht rock",82,Fleetwood Mac
0h1zs4CTlU9D2QtgPxptUD,7157624,"cantautor, latin, latin arena pop, latin pop, rock en espanol",77,Ricardo Arjona
